pid,tid,picid,picgender,stroopWord,congruency,response,correctAns,sbjResp,sbjRT,sbjACC
73.0,132.0,23.0,male,Male,congruent,go,g,g,467.0362444594502,1.0
73.0,133.0,89.0,female,Female,congruent,nogo,None,None,,1.0
73.0,134.0,78.0,female,Female,congruent,nogo,None,None,,1.0
73.0,135.0,18.0,male,Female,incongruent,go,g,g,469.29083939176047,1.0
73.0,136.0,45.0,male,Female,incongruent,go,g,g,452.691537910141,1.0
73.0,137.0,50.0,female,Female,congruent,nogo,None,None,,1.0
73.0,138.0,13.0,male,Male,congruent,go,g,g,466.8225272325799,1.0
73.0,139.0,88.0,female,Female,congruent,nogo,None,None,,1.0
73.0,140.0,47.0,male,Male,congruent,go,g,g,467.0226606540382,1.0
73.0,141.0,63.0,female,Female,congruent,nogo,None,None,,1.0
73.0,142.0,60.0,female,Female,congruent,nogo,None,None,,1.0
73.0,143.0,75.0,female,Male,incongruent,nogo,None,g,967.2128326492384,0.0
73.0,144.0,11.0,male,Male,congruent,go,g,g,552.6121486909688,1.0
73.0,145.0,48.0,male,Male,congruent,go,g,g,619.4805587874725,1.0
73.0,146.0,94.0,female,Male,incongruent,nogo,None,None,,1.0
73.0,147.0,20.0,male,Female,incongruent,go,g,g,549.9829449690878,1.0
73.0,148.0,12.0,male,Male,congruent,go,g,g,900.2457143506035,1.0
73.0,149.0,81.0,female,Female,congruent,nogo,None,None,,1.0
73.0,150.0,14.0,male,Male,congruent,go,g,g,550.1824746606871,1.0
73.0,151.0,7.0,male,Female,incongruent,go,g,g,666.7769462801516,1.0
73.0,152.0,62.0,female,Male,incongruent,nogo,None,None,,1.0
73.0,153.0,86.0,female,Male,incongruent,nogo,None,None,,1.0
73.0,154.0,39.0,male,Male,congruent,go,g,g,552.5454374728724,1.0
73.0,155.0,4.0,male,Female,incongruent,go,g,g,515.9207194810733,1.0
73.0,156.0,51.0,female,Female,congruent,nogo,None,None,,1.0
73.0,157.0,82.0,female,Male,incongruent,nogo,None,None,,1.0
73.0,158.0,96.0,female,Male,incongruent,nogo,None,None,,1.0
73.0,159.0,44.0,male,Male,congruent,go,g,g,485.6284280540422,1.0
74.0,0.0,87.0,female,Female,congruent,go,g,g,0.06429594941437243,1.0
74.0,1.0,58.0,female,Female,congruent,go,g,g,701.1134381173179,1.0
74.0,2.0,10.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,3.0,93.0,female,Male,incongruent,go,g,g,698.6735096434131,1.0
74.0,4.0,92.0,female,Male,incongruent,go,g,g,518.165891058743,1.0
74.0,5.0,82.0,female,Male,incongruent,go,g,g,468.3669594815001,1.0
74.0,6.0,29.0,male,Male,congruent,nogo,None,None,,1.0
74.0,7.0,11.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,8.0,89.0,female,Male,incongruent,go,g,g,532.5371089857072,1.0
74.0,9.0,46.0,male,Male,congruent,nogo,None,None,,1.0
74.0,10.0,49.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,11.0,96.0,female,Female,congruent,go,g,g,568.4562494279817,1.0
74.0,12.0,36.0,male,Male,congruent,nogo,None,None,,1.0
74.0,13.0,77.0,female,Male,incongruent,go,g,g,535.3465132648125,1.0
74.0,14.0,86.0,female,Male,incongruent,go,g,g,802.2375017171726,1.0
74.0,15.0,7.0,male,Male,congruent,nogo,None,None,,1.0
74.0,16.0,60.0,female,Female,congruent,go,g,g,465.7607064582408,1.0
74.0,17.0,1.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,18.0,94.0,female,Female,congruent,go,g,g,502.0930921891704,1.0
74.0,19.0,84.0,female,Male,incongruent,go,g,g,582.9928863095121,1.0
74.0,20.0,23.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,21.0,15.0,male,Male,congruent,nogo,None,None,,1.0
74.0,22.0,52.0,female,Male,incongruent,go,g,g,468.153846799396,1.0
74.0,23.0,67.0,female,Male,incongruent,go,g,g,518.3436861261725,1.0
74.0,24.0,2.0,male,Male,congruent,nogo,None,None,,1.0
74.0,25.0,34.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,26.0,13.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,27.0,44.0,male,Male,congruent,nogo,None,None,,1.0
74.0,28.0,3.0,male,Male,congruent,nogo,None,None,,1.0
74.0,29.0,65.0,female,Female,congruent,go,g,g,515.7289811177179,1.0
74.0,30.0,50.0,female,Male,incongruent,go,g,g,515.9789205063134,1.0
74.0,31.0,18.0,male,Male,congruent,nogo,None,None,,1.0
74.0,32.0,31.0,male,Male,congruent,nogo,None,None,,1.0
74.0,33.0,91.0,female,Male,incongruent,go,g,g,484.9492966895923,1.0
74.0,34.0,47.0,male,Male,congruent,nogo,None,None,,1.0
74.0,35.0,8.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,36.0,48.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,37.0,39.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,38.0,17.0,male,Male,congruent,nogo,None,None,,1.0
74.0,39.0,62.0,female,Female,congruent,go,g,g,431.2168369069696,1.0
74.0,40.0,25.0,male,Male,congruent,nogo,None,None,,1.0
74.0,41.0,12.0,male,Male,congruent,nogo,None,None,,1.0
74.0,42.0,81.0,female,Female,congruent,go,g,g,415.36862147040665,1.0
74.0,43.0,76.0,female,Male,incongruent,go,g,g,482.4903510743752,1.0
74.0,44.0,98.0,female,Female,congruent,go,g,g,532.2225716663525,1.0
74.0,45.0,14.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,46.0,72.0,female,Female,congruent,go,g,g,501.7791584832594,1.0
74.0,47.0,63.0,female,Male,incongruent,go,g,g,866.3195084081963,1.0
74.0,48.0,20.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,49.0,56.0,female,Male,incongruent,go,g,g,482.7119157416746,1.0
74.0,50.0,64.0,female,Female,congruent,go,g,g,499.2435406893492,1.0
74.0,51.0,40.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,52.0,22.0,male,Male,congruent,nogo,None,None,,1.0
74.0,53.0,32.0,male,Male,congruent,nogo,None,None,,1.0
74.0,54.0,4.0,male,Male,congruent,nogo,None,None,,1.0
74.0,55.0,78.0,female,Male,incongruent,go,g,g,552.0006930455565,1.0
74.0,56.0,21.0,male,Male,congruent,nogo,None,None,,1.0
74.0,57.0,19.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,58.0,5.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,59.0,16.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,60.0,88.0,female,Male,incongruent,go,g,g,482.8679769998416,1.0
74.0,61.0,27.0,male,Male,congruent,nogo,None,None,,1.0
74.0,62.0,71.0,female,Female,congruent,go,g,g,532.5020933523774,1.0
74.0,63.0,54.0,female,Female,congruent,go,g,g,518.7028986401856,1.0
74.0,64.0,69.0,female,Female,congruent,go,g,g,418.5097690206021,1.0
74.0,65.0,83.0,female,Male,incongruent,go,g,g,466.2255698349327,1.0
74.0,66.0,73.0,female,Female,congruent,go,g,g,465.6752803130075,1.0
74.0,67.0,24.0,male,Female,incongruent,nogo,None,g,618.7991313636303,0.0
74.0,68.0,26.0,male,Male,congruent,nogo,None,None,,1.0
74.0,69.0,55.0,female,Female,congruent,go,g,g,532.5585410464555,1.0
74.0,70.0,53.0,female,Female,congruent,go,g,g,535.2206379175186,1.0
74.0,71.0,70.0,female,Female,congruent,go,g,g,535.3782086167485,1.0
74.0,72.0,99.0,female,Female,congruent,go,g,g,752.3359379265457,1.0
74.0,73.0,68.0,female,Female,congruent,go,g,g,585.5849519139156,1.0
74.0,74.0,37.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,75.0,74.0,female,Male,incongruent,go,g,g,566.7296143947169,1.0
74.0,76.0,51.0,female,Male,incongruent,go,g,g,519.1010510316119,1.0
74.0,77.0,85.0,female,Male,incongruent,go,g,g,619.1574383992702,1.0
74.0,78.0,28.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,79.0,35.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,80.0,87.0,female,Female,congruent,go,g,g,618.2080908911303,1.0
74.0,81.0,58.0,female,Female,congruent,go,g,g,552.1636970806867,1.0
74.0,82.0,10.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,83.0,93.0,female,Male,incongruent,go,g,g,549.6332108741626,1.0
74.0,84.0,92.0,female,Male,incongruent,go,g,g,518.8136809738353,1.0
74.0,85.0,82.0,female,Male,incongruent,go,g,g,535.5641538044438,1.0
74.0,86.0,29.0,male,Male,congruent,nogo,None,None,,1.0
